# x[m] y[m]
83.4958 14.3328
83.5901 14.3479
83.6844 14.3631
83.7787 14.3782
83.8730 14.3933
83.9673 14.4084
84.0615 14.4235
84.1558 14.4386
84.2501 14.4537
84.3443 14.4689
84.4386 14.4840
84.5328 14.4991
84.6270 14.5141
84.7213 14.5292
84.8155 14.5443
84.9098 14.5594
85.0040 14.5745
85.0982 14.5896
85.1924 14.6046
85.2866 14.6197
85.3808 14.6348
85.4750 14.6498
85.5692 14.6649
85.6634 14.6800
85.7576 14.6950
85.8518 14.7101
85.9460 14.7251
86.0401 14.7402
86.1343 14.7552
86.2285 14.7703
86.3226 14.7853
86.4168 14.8003
86.5110 14.8154
86.6051 14.8304
86.6992 14.8454
86.7934 14.8604
86.8875 14.8755
86.9817 14.8905
87.0758 14.9055
87.1699 14.9205
87.2640 14.9355
87.3581 14.9505
87.4522 14.9655
87.5463 14.9805
87.6404 14.9955
87.7345 15.0105
87.8286 15.0255
87.9227 15.0404
88.0168 15.0554
88.1109 15.0704
88.2049 15.0854
88.2990 15.1003
88.3931 15.1153
88.4871 15.1303
88.5812 15.1452
88.6752 15.1602
88.7693 15.1751
88.8633 15.1901
88.9574 15.2050
89.0514 15.2200
89.1454 15.2349
89.2394 15.2499
89.3335 15.2648
89.4275 15.2797
89.5215 15.2947
89.6155 15.3096
89.7095 15.3245
89.8035 15.3394
89.8975 15.3544
89.9915 15.3693
90.0854 15.3842
90.1794 15.3991
90.2734 15.4140
90.3674 15.4289
90.4613 15.4438
90.5553 15.4587
90.6492 15.4736
90.7432 15.4885
90.8371 15.5034
90.9311 15.5182
91.0250 15.5331
91.1190 15.5480
91.2129 15.5629
91.3068 15.5777
91.4007 15.5926
91.4946 15.6075
91.5886 15.6223
91.6825 15.6372
91.7764 15.6520
91.8703 15.6669
91.9642 15.6817
92.0580 15.6966
92.1519 15.7114
92.2458 15.7262
92.3397 15.7411
92.4336 15.7559
92.5274 15.7707
92.6213 15.7856
92.7151 15.8004
92.8090 15.8152
92.9028 15.8300
92.9967 15.8448
93.0905 15.8596
93.1844 15.8745
93.2782 15.8893
93.3720 15.9041
93.4658 15.9189
93.5597 15.9336
93.6535 15.9484
93.7473 15.9632
93.8411 15.9780
93.9349 15.9928
94.0287 16.0076
94.1225 16.0223
94.2162 16.0371
94.3100 16.0519
94.4038 16.0666
94.4976 16.0814
94.5913 16.0962
94.6851 16.1109
94.7789 16.1257
94.8726 16.1404
94.9664 16.1552
95.0601 16.1699
95.1539 16.1847
95.2476 16.1994
95.3413 16.2141
95.4351 16.2289
95.5288 16.2436
95.6225 16.2583
95.7162 16.2730
95.8099 16.2877
95.9036 16.3025
95.9973 16.3172
96.0910 16.3319
96.1847 16.3466
96.2784 16.3613
96.3721 16.3760
96.4658 16.3907
96.5595 16.4054
96.6531 16.4201
96.7468 16.4348
96.8405 16.4494
96.9341 16.4641
97.0278 16.4788
97.1214 16.4935
97.2151 16.5081
97.3087 16.5228
97.4023 16.5375
97.4960 16.5521
97.5896 16.5668
97.6832 16.5814
